Data,ID,Name,Class_1,Class_2,Class_3,Unit,Dim,Tick,Palette,ColourKey,Style,Prefix
hm7,BOP.Q.TB5.na,Balance on primary income,Balance of Payments,Balance on primary income,NA,NZDm,NZDm,",d",qual,number,Bar,NA
hm7,BOP.Q.TB6.na,Balance on secondary income,Balance of Payments,Balance on secondary income,NA,NZDm,NZDm,",d",qual,number,Bar,NA
hm7,BOP.Q.TB1.na,Current account balance,Balance of Payments (Total),Current account balance,NA,NZDm,NZDm,",d",qual,number,Bar,NA
hm7,IIPA.Q.AP1.na,International assets,International Investment Position,International assets,NA,NZDm,NZDm,",d",qual,number,Line,NA
hm7,IIPA.Q.LP2.na,International liabilities,International Investment Position,International liabilities,NA,NZDm,NZDm,",d",qual,number,Line,NA
hm7,IIP.Q.TA.NA,Net international investment position (IIP),Net international investment position (IIP),NA,NA,NZDm,NZDm,",d",qual,number,Line,NA
hm7,OTIT.Q.U1T.ia,Terms of Trade,Terms of Trade (Index),(Index),NA,NA,Index,",d",qual,number,Line,NA
hm8,OTIX.Q.UA.ns,Export values $m s.a.,Values ($m s.a.),Export,$m s.a.,m,$m,",d",qual,number,Line,NA
hm8,OTIM.Q.UA.ns,Import values $m s.a.,Values ($m s.a.),Import,$m s.a.,m,$m,",d",qual,number,Line,NA
hm8,OTIX.Q.UA.na,Export values $m,Values ($m),Export,$m,m,$m,",d",qual,number,Line,NA
hm8,OTIM.Q.UA.na,Import values $m,Values ($m),Import,$m,m,$m,",d",qual,number,Line,NA
hm8,OTIX.Q.UA.nsq,Export values q/q% s.a.,Values (q/q% s.a.),Export,q/q% s.a.,%,%,.1f,qual,number,Line,NA
hm8,OTIM.Q.UA.nsq,Import values q/q% s.a.,Values (q/q% s.a.),Import,q/q% s.a.,%,%,.1f,qual,number,Line,NA
hm8,OTIX.Q.UA.nay,Export values y/y%,Values (y/y%),Export,y/y%,%,%,.1f,qual,number,Line,NA
hm8,OTIM.Q.UA.nay,Import values y/y%,Values (y/y%),Import,y/y%,%,%,.1f,qual,number,Line,NA
hm8,OTIX.Q.U1A.ia,Export prices Index,Prices (Index),Export,Index,NA,Index,",d",qual,number,Line,NA
hm8,OTIM.Q.U1A.ia,Import prices Index,Prices (Index),Import,Index,NA,Index,",d",qual,number,Line,NA
hm8,OTIX.Q.U1A.iaq,Export prices q/q%,Prices (q/q%),Export,q/q%,%,%,.1f,qual,number,Line,NA
