Date,Region,PropertyType,Number of establishments,Daily Capacity (stay-units available),Available monthly stay unit capacity,Occupancy rate (%),Total guest nights,Guest arrivals,Stay unit nights occupied,Domestic guest nights,International guest nights 
1/05/2019,Clutha,Total,31.00,620.00,19220.00,15.75,4690.00,3279.00,3027.00,3395.00,1295.00
1/11/2009,Clutha,Total,33.00,678.00,20340.00,18.51,6819.00,5152.00,3766.00,3417.00,3402.00
1/05/2012,Clutha,Total,32.00,599.00,18569.00,12.75,4139.00,3003.00,2367.00,3423.00,716.00
1/11/2001,Clutha,Total,24.00,446.00,13380.00,25.67,5570.00,4102.00,3435.00,3466.00,2099.00
1/10/2012,Clutha,Total,31.00,597.00,18507.00,16.57,5192.00,3414.00,3067.00,3467.00,1725.00
1/10/2014,Clutha,Total,32.00,564.00,17484.00,17.07,4808.00,3134.00,2985.00,3496.00,1312.00
1/11/2005,Clutha,Total,29.00,572.00,17160.00,21.12,6256.00,3719.00,3625.00,3502.00,2755.00
1/12/2004,Clutha,Total,26.00,492.00,15252.00,19.46,6057.00,3911.00,2968.00,3526.00,2531.00
1/05/2009,Clutha,Total,32.00,609.00,18879.00,21.02,5878.00,3998.00,3969.00,3547.00,2331.00
1/10/2010,Clutha,Total,30.00,575.00,17825.00,16.34,4854.00,3236.00,2913.00,3577.00,1277.00
1/11/2016,Clutha,Total,32.00,680.00,20400.00,20.23,7366.00,4528.00,4126.00,3590.00,3776.00
