STATISTIC,Statistic Label,TLIST(A1),Year,C02164V02610,Type of Accommodation Used,C02276V02746,Domestic,UNIT,VALUE
HTA05C1,Number of Trips by Irish Residents,2004,2004,224,Own holiday home,01,Domestic,Thousand,294
HTA05C1,Number of Trips by Irish Residents,2004,2004,224,Own holiday home,02,Outbound,Thousand,98
HTA05C1,Number of Trips by Irish Residents,2004,2004,92,Guest house/bed &breakfast,01,Domestic,Thousand,699
HTA05C1,Number of Trips by Irish Residents,2004,2004,92,Guest house/bed &breakfast,02,Outbound,Thousand,278
HTA05C1,Number of Trips by Irish Residents,2004,2004,93,Hotel/conference centre,01,Domestic,Thousand,2355
HTA05C1,Number of Trips by Irish Residents,2004,2004,93,Hotel/conference centre,02,Outbound,Thousand,2311
HTA05C1,Number of Trips by Irish Residents,2004,2004,94,Self catering/rented house,01,Domestic,Thousand,583
HTA05C1,Number of Trips by Irish Residents,2004,2004,94,Self catering/rented house,02,Outbound,Thousand,1090
HTA05C1,Number of Trips by Irish Residents,2004,2004,999,Other,01,Domestic,Thousand,282
HTA05C1,Number of Trips by Irish Residents,2004,2004,999,Other,02,Outbound,Thousand,237
HTA05C2,Number of Nights by Irish Residents,2004,2004,-,All types of accommodation,01,Domestic,Thousand,24189
HTA05C2,Number of Nights by Irish Residents,2004,2004,-,All types of accommodation,02,Outbound,Thousand,46302
HTA05C2,Number of Nights by Irish Residents,2004,2004,134,Caravan/camping,01,Domestic,Thousand,1635
HTA05C2,Number of Nights by Irish Residents,2004,2004,134,Caravan/camping,02,Outbound,Thousand,2776
HTA05C2,Number of Nights by Irish Residents,2004,2004,222,Friends/relatives,01,Domestic,Thousand,7736
HTA05C2,Number of Nights by Irish Residents,2004,2004,222,Friends/relatives,02,Outbound,Thousand,10206
HTA05C2,Number of Nights by Irish Residents,2004,2004,224,Own holiday home,01,Domestic,Thousand,2014
HTA05C2,Number of Nights by Irish Residents,2004,2004,224,Own holiday home,02,Outbound,Thousand,1392
HTA05C2,Number of Nights by Irish Residents,2004,2004,92,Guest house/bed &breakfast,01,Domestic,Thousand,1963
HTA05C2,Number of Nights by Irish Residents,2004,2004,92,Guest house/bed &breakfast,02,Outbound,Thousand,2065
HTA05C2,Number of Nights by Irish Residents,2004,2004,93,Hotel/conference centre,01,Domestic,Thousand,5836
HTA05C2,Number of Nights by Irish Residents,2004,2004,93,Hotel/conference centre,02,Outbound,Thousand,14351
HTA05C2,Number of Nights by Irish Residents,2004,2004,94,Self catering/rented house,01,Domestic,Thousand,3701
HTA05C2,Number of Nights by Irish Residents,2004,2004,94,Self catering/rented house,02,Outbound,Thousand,12503
HTA05C2,Number of Nights by Irish Residents,2004,2004,999,Other,01,Domestic,Thousand,1303
HTA05C2,Number of Nights by Irish Residents,2004,2004,999,Other,02,Outbound,Thousand,3009
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,-,All types of accommodation,01,Domestic,Nights per Trip,3.5
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,-,All types of accommodation,02,Outbound,Nights per Trip,8.5
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,134,Caravan/camping,01,Domestic,Nights per Trip,5.9
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,134,Caravan/camping,02,Outbound,Nights per Trip,13.5
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,222,Friends/relatives,01,Domestic,Nights per Trip,3.1
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,222,Friends/relatives,02,Outbound,Nights per Trip,8.2
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,224,Own holiday home,01,Domestic,Nights per Trip,6.9
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,224,Own holiday home,02,Outbound,Nights per Trip,14.2
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.8
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,7.4
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.5
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,93,Hotel/conference centre,02,Outbound,Nights per Trip,6.2
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,94,Self catering/rented house,01,Domestic,Nights per Trip,6.3
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,94,Self catering/rented house,02,Outbound,Nights per Trip,11.5
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,999,Other,01,Domestic,Nights per Trip,4.6
HTA05C3,Average Length of Stay by Irish Residents,2004,2004,999,Other,02,Outbound,Nights per Trip,12.7
HTA05C1,Number of Trips by Irish Residents,2005,2005,-,All types of accommodation,01,Domestic,Thousand,7173
HTA05C1,Number of Trips by Irish Residents,2005,2005,-,All types of accommodation,02,Outbound,Thousand,6189
HTA05C1,Number of Trips by Irish Residents,2005,2005,134,Caravan/camping,01,Domestic,Thousand,298
HTA05C1,Number of Trips by Irish Residents,2005,2005,134,Caravan/camping,02,Outbound,Thousand,208
HTA05C1,Number of Trips by Irish Residents,2005,2005,222,Friends/relatives,01,Domestic,Thousand,2430
HTA05C1,Number of Trips by Irish Residents,2005,2005,222,Friends/relatives,02,Outbound,Thousand,1401
HTA05C1,Number of Trips by Irish Residents,2005,2005,224,Own holiday home,01,Domestic,Thousand,365
HTA05C1,Number of Trips by Irish Residents,2005,2005,224,Own holiday home,02,Outbound,Thousand,175
HTA05C1,Number of Trips by Irish Residents,2005,2005,92,Guest house/bed &breakfast,01,Domestic,Thousand,661
HTA05C1,Number of Trips by Irish Residents,2005,2005,92,Guest house/bed &breakfast,02,Outbound,Thousand,261
HTA05C1,Number of Trips by Irish Residents,2005,2005,93,Hotel/conference centre,01,Domestic,Thousand,2597
HTA05C1,Number of Trips by Irish Residents,2005,2005,93,Hotel/conference centre,02,Outbound,Thousand,2800
HTA05C1,Number of Trips by Irish Residents,2005,2005,94,Self catering/rented house,01,Domestic,Thousand,547
